Barycentric data loading time: 582.995152ms
2025/10/03 22:37:36 [JOB 1] WAL file samurai.db/280372.log with log number 280372 stopped reading at offset: 1359293; replayed 42 keys in 42 batches
Feeding update tasks to 16 workers
Block: 18911052 phase:balances accounts: 282 time: 121.296231ms
Block: 18911053 phase:modifiedaccounts accounts: 341 time: 4.424985235s
Block: 18911053 phase:balances accounts: 341 time: 129.474983ms
Block: 18911054 phase:modifiedaccounts accounts: 224 time: 5.252743831s
Block: 18911054 phase:balances accounts: 224 time: 160.691226ms
Block: 18911055 phase:modifiedaccounts accounts: 249 time: 3.801724155s
Block: 18911055 phase:balances accounts: 249 time: 113.113729ms
Block: 18911056 phase:modifiedaccounts accounts: 227 time: 4.162359417s
Block: 18911056 phase:balances accounts: 227 time: 100.418623ms
Block: 18911057 phase:modifiedaccounts accounts: 287 time: 5.565978065s
Block: 18911057 phase:balances accounts: 287 time: 117.575768ms
Block: 18911058 phase:modifiedaccounts accounts: 206 time: 3.947530772s
Block: 18911058 phase:balances accounts: 206 time: 86.631843ms
Block: 18911059 phase:modifiedaccounts accounts: 396 time: 4.190983111s
Block: 18911059 phase:balances accounts: 396 time: 135.870241ms
Block: 18911060 phase:modifiedaccounts accounts: 241 time: 5.461130156s
Block: 18911060 phase:balances accounts: 241 time: 95.513891ms
Block: 18911061 phase:modifiedaccounts accounts: 265 time: 3.729925512s
Block: 18911061 phase:balances accounts: 265 time: 114.986708ms
Block: 18911062 phase:modifiedaccounts accounts: 217 time: 5.022183276s
Block: 18911062 phase:balances accounts: 217 time: 101.859572ms
Block: 18911063 phase:modifiedaccounts accounts: 261 time: 4.546388817s
Block: 18911063 phase:balances accounts: 261 time: 133.54793ms
Block: 18911064 phase:modifiedaccounts accounts: 259 time: 3.720550789s
Block: 18911064 phase:balances accounts: 259 time: 92.008459ms
Block: 18911065 phase:modifiedaccounts accounts: 319 time: 4.210165153s
Block: 18911065 phase:balances accounts: 319 time: 118.767601ms
Block: 18911066 phase:modifiedaccounts accounts: 240 time: 6.258087092s
Block: 18911066 phase:balances accounts: 240 time: 138.044641ms
Block: 18911067 phase:modifiedaccounts accounts: 329 time: 4.006226494s
Block: 18911067 phase:balances accounts: 329 time: 206.306093ms
Block: 18911068 phase:modifiedaccounts accounts: 363 time: 4.775729772s
Block: 18911068 phase:balances accounts: 363 time: 226.814112ms
Block: 18911069 phase:modifiedaccounts accounts: 485 time: 4.355944027s
Block: 18911069 phase:balances accounts: 485 time: 760.132124ms
Block: 18911070 phase:modifiedaccounts accounts: 236 time: 3.706110745s
Block: 18911070 phase:balances accounts: 236 time: 128.119057ms
Block: 18911071 phase:modifiedaccounts accounts: 481 time: 4.63839763s
Block: 18911071 phase:balances accounts: 481 time: 290.565956ms
Block: 18911072 phase:modifiedaccounts accounts: 280 time: 3.789069589s
Block: 18911072 phase:balances accounts: 280 time: 100.133663ms
Block: 18911073 phase:modifiedaccounts accounts: 373 time: 4.270776694s
Block: 18911073 phase:balances accounts: 373 time: 143.213ms
Block: 18911074 phase:modifiedaccounts accounts: 300 time: 4.911030019s
Block: 18911074 phase:balances accounts: 300 time: 93.128462ms
Block: 18911075 phase:modifiedaccounts accounts: 334 time: 4.260175703s
Block: 18911075 phase:balances accounts: 334 time: 109.119569ms
