Barycentric data loading time: 486.949326ms
Removing database directory samurai.db
Database directory samurai.db removed
Feeding update tasks to 16 workers
Block: 18908974 phase:modifiedaccounts accounts: 49 time: 4.581331744s
Block: 18908974 phase:balances accounts: 49 time: 4.066011ms
Block: 18908975 phase:modifiedaccounts accounts: 474 time: 4.372506573s
Block: 18908975 phase:balances accounts: 474 time: 23.418955ms
Block: 18908976 phase:modifiedaccounts accounts: 219 time: 3.868837403s
Block: 18908976 phase:balances accounts: 219 time: 14.123336ms
Block: 18908977 phase:modifiedaccounts accounts: 393 time: 4.919875824s
Block: 18908977 phase:balances accounts: 393 time: 19.380775ms
Block: 18908978 phase:modifiedaccounts accounts: 261 time: 3.887750629s
Block: 18908978 phase:balances accounts: 261 time: 21.421458ms
Block: 18908979 phase:modifiedaccounts accounts: 241 time: 3.531132302s
Block: 18908979 phase:balances accounts: 241 time: 13.792695ms
Block: 18908980 phase:modifiedaccounts accounts: 171 time: 4.863500709s
Block: 18908980 phase:balances accounts: 171 time: 10.450855ms
Block: 18908981 phase:modifiedaccounts accounts: 220 time: 4.007284564s
Block: 18908981 phase:balances accounts: 220 time: 20.401405ms
Block: 18908982 phase:modifiedaccounts accounts: 506 time: 4.724890676s
Block: 18908982 phase:balances accounts: 506 time: 24.299519ms
Block: 18908983 phase:modifiedaccounts accounts: 262 time: 4.398123095s
Block: 18908983 phase:balances accounts: 262 time: 29.282707ms
Block: 18908984 phase:modifiedaccounts accounts: 283 time: 4.58650142s
Block: 18908984 phase:balances accounts: 283 time: 12.433863ms
Block: 18908985 phase:modifiedaccounts accounts: 185 time: 5.508100689s
Block: 18908985 phase:balances accounts: 185 time: 22.889643ms
Block: 18908986 phase:modifiedaccounts accounts: 358 time: 3.643379028s
Block: 18908986 phase:balances accounts: 358 time: 21.392893ms
Block: 18908987 phase:modifiedaccounts accounts: 285 time: 4.143385343s
Block: 18908987 phase:balances accounts: 285 time: 16.067521ms
Block: 18908988 phase:modifiedaccounts accounts: 241 time: 4.578621405s
Block: 18908988 phase:balances accounts: 241 time: 16.12154ms
Block: 18908989 phase:modifiedaccounts accounts: 346 time: 3.624397542s
Block: 18908989 phase:balances accounts: 346 time: 14.861231ms
Block: 18908990 phase:modifiedaccounts accounts: 191 time: 4.870618425s
Block: 18908990 phase:balances accounts: 191 time: 19.377861ms
Block: 18908991 phase:modifiedaccounts accounts: 259 time: 4.864116856s
Block: 18908991 phase:balances accounts: 259 time: 14.286396ms
Block: 18908992 phase:modifiedaccounts accounts: 346 time: 4.49116635s
Block: 18908992 phase:balances accounts: 346 time: 15.416831ms
Block: 18908993 phase:modifiedaccounts accounts: 376 time: 4.317579661s
Block: 18908993 phase:balances accounts: 376 time: 20.277338ms
Block: 18908994 phase:modifiedaccounts accounts: 327 time: 4.263927137s
Block: 18908994 phase:balances accounts: 327 time: 43.482577ms
Block: 18908995 phase:modifiedaccounts accounts: 137 time: 4.980554303s
Block: 18908995 phase:balances accounts: 137 time: 6.121875ms
Block: 18908996 phase:modifiedaccounts accounts: 328 time: 3.026255072s
Block: 18908996 phase:balances accounts: 328 time: 15.865643ms
Block: 18908997 phase:modifiedaccounts accounts: 622 time: 4.62841437s
Block: 18908997 phase:balances accounts: 622 time: 34.846792ms
Block: 18908998 phase:modifiedaccounts accounts: 287 time: 4.941112527s
Block: 18908998 phase:balances accounts: 287 time: 12.398354ms
Block: 18908999 phase:modifiedaccounts accounts: 247 time: 3.78540611s
Block: 18908999 phase:balances accounts: 247 time: 16.485864ms
Block: 18909000 phase:modifiedaccounts accounts: 211 time: 3.320421698s
Block: 18909000 phase:balances accounts: 211 time: 16.785935ms
Block: 18909001 phase:modifiedaccounts accounts: 409 time: 3.981805012s
Block: 18909001 phase:balances accounts: 409 time: 27.44673ms
Block: 18909002 phase:modifiedaccounts accounts: 241 time: 3.934131501s
Block: 18909002 phase:balances accounts: 241 time: 11.505801ms
Block: 18909003 phase:modifiedaccounts accounts: 230 time: 3.444526476s
Block: 18909003 phase:balances accounts: 230 time: 13.774222ms
Block: 18909004 phase:modifiedaccounts accounts: 309 time: 3.487310835s
Block: 18909004 phase:balances accounts: 309 time: 19.693929ms
Block: 18909005 phase:modifiedaccounts accounts: 226 time: 4.040045814s
Block: 18909005 phase:balances accounts: 226 time: 12.582609ms
Block: 18909006 phase:modifiedaccounts accounts: 317 time: 4.356140642s
Block: 18909006 phase:balances accounts: 317 time: 16.532615ms
Block: 18909007 phase:modifiedaccounts accounts: 297 time: 4.078851102s
Block: 18909007 phase:balances accounts: 297 time: 13.261372ms
Block: 18909008 phase:modifiedaccounts accounts: 336 time: 3.742670368s
Block: 18909008 phase:balances accounts: 336 time: 25.305972ms
Block: 18909009 phase:modifiedaccounts accounts: 253 time: 3.742748663s
Block: 18909009 phase:balances accounts: 253 time: 10.017685ms
Block: 18909010 phase:modifiedaccounts accounts: 209 time: 3.742821938s
Block: 18909010 phase:balances accounts: 209 time: 29.04581ms
Block: 18909011 phase:modifiedaccounts accounts: 352 time: 3.960638755s
Block: 18909011 phase:balances accounts: 352 time: 25.325358ms
Block: 18909012 phase:modifiedaccounts accounts: 206 time: 4.226786398s
Block: 18909012 phase:balances accounts: 206 time: 14.733338ms
Block: 18909013 phase:modifiedaccounts accounts: 271 time: 3.285267257s
Block: 18909013 phase:balances accounts: 271 time: 14.696111ms
Block: 18909014 phase:modifiedaccounts accounts: 113 time: 3.855876676s
Block: 18909014 phase:balances accounts: 113 time: 8.103378ms
Block: 18909015 phase:modifiedaccounts accounts: 500 time: 4.187305282s
Block: 18909015 phase:balances accounts: 500 time: 27.493241ms
Block: 18909016 phase:modifiedaccounts accounts: 290 time: 4.028773459s
Block: 18909016 phase:balances accounts: 290 time: 18.958611ms
Block: 18909017 phase:modifiedaccounts accounts: 237 time: 4.354292531s
Block: 18909017 phase:balances accounts: 237 time: 16.213666ms
Block: 18909018 phase:modifiedaccounts accounts: 245 time: 3.887984313s
Block: 18909018 phase:balances accounts: 245 time: 12.55914ms
Block: 18909019 phase:modifiedaccounts accounts: 160 time: 3.67114324s
Block: 18909019 phase:balances accounts: 160 time: 23.022609ms
Block: 18909020 phase:modifiedaccounts accounts: 692 time: 4.100999068s
Block: 18909020 phase:balances accounts: 692 time: 35.28857ms
Block: 18909021 phase:modifiedaccounts accounts: 347 time: 4.309092696s
Block: 18909021 phase:balances accounts: 347 time: 20.455276ms
Block: 18909022 phase:modifiedaccounts accounts: 239 time: 5.079206857s
Block: 18909022 phase:balances accounts: 239 time: 12.917991ms
Block: 18909023 phase:modifiedaccounts accounts: 283 time: 3.831079152s
Block: 18909023 phase:balances accounts: 283 time: 21.899661ms
Block: 18909024 phase:modifiedaccounts accounts: 314 time: 4.595129754s
Block: 18909024 phase:balances accounts: 314 time: 26.635618ms
Block: 18909025 phase:modifiedaccounts accounts: 322 time: 4.566949303s
Block: 18909025 phase:balances accounts: 322 time: 16.620037ms
Block: 18909026 phase:modifiedaccounts accounts: 350 time: 4.201727208s
Block: 18909026 phase:balances accounts: 350 time: 26.979641ms
Block: 18909027 phase:modifiedaccounts accounts: 268 time: 4.981095048s
Block: 18909027 phase:balances accounts: 268 time: 14.860215ms
Block: 18909028 phase:modifiedaccounts accounts: 316 time: 4.71165395s
Block: 18909028 phase:balances accounts: 316 time: 18.111565ms
Block: 18909029 phase:modifiedaccounts accounts: 305 time: 4.718720506s
Block: 18909029 phase:balances accounts: 305 time: 36.430453ms
Block: 18909030 phase:modifiedaccounts accounts: 392 time: 3.96185157s
Block: 18909030 phase:balances accounts: 392 time: 20.83215ms
